nm, P, As
340.02, 90.8791, 9.12088
340.525, 89.3645, 10.6355
341.03, 95.9522, 4.04775
341.535, 87.5725, 12.4275
342.041, 91.418, 8.58197
342.546, 83.8625, 16.1375
343.051, 92.3182, 7.68182
343.556, 94.1498, 5.8502
344.061, 82.4294, 17.5706
344.567, 88.3299, 11.6701
345.072, 86.3551, 13.6449
345.577, 82.4097, 17.5903
346.082, 89.157, 10.843
346.588, 93.1183, 6.88165
347.093, 95.5378, 4.4622
347.598, 90.2331, 9.76686
348.103, 85.3624, 14.6376
348.608, 84.1833, 15.8167
