Wavelength,Intensity
1552.548867,766
1552.871352,768
1553.193832,769
1553.516308,782
1553.838779,767
1554.161245,773
1554.483707,760
1554.806165,777
1555.128617,774
1555.451066,782
1555.773509,792
1556.095948,774
1556.418382,796
1556.740812,795
1557.063237,802
1557.385657,792
1557.708073,793
1558.030484,799
1558.352891,778
1558.675293,791
1558.99769,792
1559.320082,785
1559.64247,800
1559.964854,799
1560.287232,798
1560.609606,798
1560.931976,788
1561.25434,790
1561.576701,800
1561.899056,812
1562.221407,804
1562.543753,802
1562.866094,805
1563.188431,811
1563.510763,810
1563.83309,810
1564.155413,813
1564.477731,806
1564.800045,807
1565.122353,810
1565.444657,801
1565.766957,827
1566.089251,811
1566.411541,815
1566.733826,827
1567.056107,812
1567.378383,824
1567.700654,827
1568.02292,831
1568.345182,823
1568.667439,803
1568.989691,818
1569.311939,816
1569.634182,815
1569.95642,811
1570.278653,807
1570.600882,818
1570.923106,823
1571.245325,819
1571.56754,820
1571.88975,808
1572.211955,824
1572.534155,822
1572.856351,826
1573.178541,832
1573.500728,808
1573.822909,826
1574.145085,826
1574.467257,819
1574.789424,829
1575.111587,810
1575.433744,834
1575.755897,806
1576.078045,808
1576.400188,801
1576.722327,823
1577.04446,803
1577.366589,816
1577.688714,810
1578.010833,812
1578.332947,823
1578.655057,803
1578.977162,803
1579.299263,815
1579.621358,793
1579.943449,791
1580.265534,811
1580.587615,789
1580.909692,796
1581.231763,805
1581.55383,789
1581.875892,794
1582.197949,787
1582.520001,789
1582.842048,783
1583.164091,781
1583.486128,770
1583.808161,778
1584.130189,776
1584.452213,783
1584.774231,761
1585.096245,749
1585.418253,750
1585.740257,769
1586.062256,754
1586.384251,745
1586.70624,755
1587.028225,760
1587.350204,731
1587.672179,717
1587.994149,727
1588.316114,697
1588.638074,701
1588.96003,683
1589.28198,678
1589.603926,663
1589.925867,649
1590.247803,655
1590.569734,636
1590.89166,609
1591.213581,593
1591.535497,582
1591.857409,549
1592.179316,563
1592.501217,534
1592.823114,503
1593.145006,483
1593.466893,496
1593.788775,433
1594.110652,427
1594.432525,440
1594.754392,390
1595.076255,373
1595.398112,357
1595.719965,345
1596.041813,335
1596.363656,314
1596.685494,300
1597.007327,289
1597.329155,275
1597.650978,255
1597.972796,253
1598.294609,202
1598.616418,227
1598.938221,204
1599.260019,186
1599.581813,188
1599.903602,182
1600.225385,167
